time_period	DeltaLogC_me	DeltaLogC	DeltaLogY	A	BigTheta	Delta8LogC	Delta8LogY	Delta8LogC_me	Measurement_Error	MrkvState
0.0	0.0009688805108878235	0.0024796187792763685	0.00044519218945537897	5.009909773615964	0.9955793060550246	0.013816632764326167	0.03913742910872092	0.010387489627522145	0.0017533443403958348	7.0
1.0	-0.009513792939726082	-0.003972249934468999	-0.0015708638739008532	5.061097459016718	0.9983145386213296	0.015026202933150067	0.024180755735993095	0.014509395778559718	-0.003788198664861247	6.0
2.0	-0.0029007487648161218	-0.00666839632116021	0.004098940419999662	5.1037548022892585	0.9999951060739193	0.0016760350745119168	0.020446383402729494	0.00193131013484589	-2.0551108517157178e-05	6.0
3.0	0.007223885947594946	0.005680270479159373	0.0025627269385216506	5.121495513795631	0.9983145386213296	0.010389313586761664	0.025092998480873475	0.010033982670123703	0.0015230643599184154	6.0
4.0	-0.006753372161947574	-0.0034651812043277053	-0.0013238782285208417	5.208409178734092	0.9983145386213296	0.013741119376562277	0.023163755691382314	0.014657276425506516	-0.0017651265977014486	5.0
5.0	0.0003611976082673607	-0.0020547704830965324	0.0015868695661572507	5.221361492365566	1.0016785742323322	-0.0008536501754711767	0.004210269297161326	-0.0013143786255923676	0.0006508414936624471	6.0
6.0	0.014007142151036212	0.01439190152844362	0.00740086202881704	5.254677897981942	0.9955793060550246	0.0028281056068077542	0.020875644143382527	0.00699782823558584	0.00026608211625502753	6.0
7.0	-0.006366247292705782	-0.006110684647048517	-0.018903298172997428	5.302570585859226	0.9955793060550246	0.0002805081967773987	-0.00570344913246814	-0.00010913032599402239	1.051947059776955e-05	5.0
8.0	-0.015214452000950791	-0.014775939674373254	-0.0043735262092257365	5.3573542493152075	1.0016785742323322	-0.016975050256872223	-0.010522167531149255	-0.009637292137074649	-0.00042799285597977017	4.0
9.0	-0.00012260775379603628	-0.0016120662009276795	0.026400422093731744	5.427734998108063	1.0044324750173943	-0.014614866523330904	0.017449118436483342	-0.01206392226034251	0.0010614655911518783	5.0
10.0	0.01678775270538358	0.014900244754523555	-0.006907374515041968	5.482080688894155	0.9999951060739193	0.006953774552352861	0.0064428035014417115	0.0024070198623213357	0.002948973542011907	5.0
11.0	-0.010682666944854508	-0.005368053572685383	-0.005308244799190322	5.586735214743319	0.9999951060739193	-0.004094549499491895	-0.0014281682362702608	-0.006825196675999887	-0.002365639830157225	4.0
12.0	-0.010818741524208884	-0.01570496227389207	-0.014239807285624982	5.675186078836745	0.9983145386213296	-0.01633433056905626	-0.014344097293374401	-0.021265730780990394	0.002520580919525961	4.0
13.0	-0.0004108186026312022	0.0015493273550881634	0.004297610378448467	5.753020389386548	0.9955793060550246	-0.012730232730871566	-0.011633356481083185	-0.014127641688114256	0.0005604349618066012	4.0
14.0	-0.006400915292567276	-0.006931634330932197	-0.017970442283060713	5.855353855396219	0.9955793060550246	-0.034053768590247384	-0.03700466079296094	-0.036196527973613904	0.0010911540001715203	3.0
15.0	-0.01978747447327271	-0.015910197678045645	-0.007984459278801134	5.937160059916087	0.9999951060739193	-0.04385328162124451	-0.026085821898764645	-0.045974735471769945	-0.0027861227950555447	3.0
16.0	0.004857206253387567	0.0017398260196439114	0.02280662100639343	6.075312101851014	0.9983145386213296	-0.027337515927227347	0.001094325316854522	-0.03161789704663821	0.00033125743868811123	3.0
17.0	0.0015302241920314603	-0.0017775244682190668	-0.010021405979657335	6.215141342490518	1.0044324750173943	-0.027502974194518734	-0.035327502756534554	-0.03222366380804832	0.003639006098938639	2.0
18.0	-0.019502811583566947	-0.013216908465439757	-0.012529694225194923	6.347808274089683	1.0016785742323322	-0.055620127414482044	-0.04094982246668751	-0.048183900465123164	-0.0026468970191885523	2.0
19.0	-0.0006443976331434367	0.0015566581211279452	0.0035702878894154112	6.466608520374553	0.9955793060550246	-0.04869541572066872	-0.03207128977808178	-0.04741448367122274	-0.004847952773459933	3.0
20.0	0.010015464281674373	0.00944099368457527	-0.008481151336417768	6.574728163027112	0.9955793060550246	-0.023549459762201377	-0.026312633828874565	-0.017627320154247932	-0.004273482176360832	2.0
21.0	-0.00855660640186293	-0.01348229930004866	-0.016046449874365133	6.643865568048199	0.9955793060550246	-0.0385810864173382	-0.04665669408168816	-0.035447805867737874	0.0006522107218248992	2.0
22.0	0.0050966450230840385	-9.735128899459634e-05	-0.0008134819507453002	6.712214434084533	1.0016785742323322	-0.0317468033754006	-0.02949973374937275	-0.03064611392937465	0.005846207033903532	2.0
23.0	0.0040199817669264205	0.0071117142950264094	0.026001601077647957	6.793477521732434	1.0044324750173943	-0.008724891402328544	0.004486326607076339	-0.004082256320458898	0.0027544745058035447	3.0
24.0	0.01720743890959602	0.01586185903621107	-0.010700832945059599	6.833104855095477	0.9983145386213296	0.005397141614238616	-0.029021127344376688	0.0030602381086517333	0.00410005437918849	4.0
25.0	0.01759381077446716	0.021450823315908883	-0.002225258086509309	6.762359231906687	0.9999951060739193	0.028625489398366566	-0.021224979451228664	0.03402914627134568	0.00024304183774676464	5.0
26.0	0.016220073057578874	0.013036243529880441	0.010219270351730435	6.732458297922229	1.0044324750173943	0.05487864139368676	0.0015239851256966946	0.05506435551437855	0.0034268713654451934	5.0
27.0	-0.011809359932116466	-0.007717585582568368	-0.007702379280557158	6.762726016128058	1.0044324750173943	0.04560439768999045	-0.009748682044275874	0.04341856687869376	-0.0006649029841028967	4.0
28.0	-0.006976768882920974	-0.00914480298860474	0.006109571670422529	6.7239939632572945	1.0016785742323322	0.02701860101681044	0.004842040962564423	0.025841304935103945	0.0015031311215808697	5.0
29.0	0.005835407464575483	0.007993806106420781	0.005399806792302956	6.787272697765158	0.9983145386213296	0.04849470642327988	0.026288297629232512	0.057249197330863505	-0.0006552675202644288	4.0
30.0	-0.015417986913365066	-0.01472674784601407	-0.00865760981434262	6.818322199707508	0.9983145386213296	0.03386530986626041	0.01844416976563519	0.03476404625315429	-0.0013465065876154241	4.0
31.0	-0.005380490705619183	-0.0070523016117209555	-0.0014038955040206746	6.926121023745928	1.0016785742323322	0.019701293959513044	-0.008961326816033439	0.017642791680342818	0.0003253043184863476	3.0
32.0	-0.01015057170826884	-0.008658113122736313	-0.0016179071248715177	6.941862232242732	1.0044324750173943	-0.00481867819943434	0.00012159900415464192	-0.002244966810248262	-0.0011671542670461817	4.0
33.0	0.02620154266342845	0.021826963107778128	0.010923431003435747	6.917651365502859	0.9999951060739193	-0.004442538407565096	0.013270288094099698	-0.0072509419043469	0.0032074252886041413	5.0
34.0	0.014314629143662633	0.017044023563635477	-0.007817117516316273	6.85440777207923	1.0016785742323322	-0.00043475837381005966	-0.00476609977394701	-0.010185574114114623	0.00047803086863130095	5.0
35.0	-0.003199200717390882	-0.0037021939568180062	-0.0007987529488122629	6.844873335332545	0.9983145386213296	0.0035806332519403017	0.002137526557797885	0.004054816891276569	0.0009810241080584214	5.0
36.0	-0.0047031885710566365	-0.002894535288155725	-0.004844638476301212	6.829996057924975	0.9983145386213296	0.009830900952389317	-0.008816683588925857	0.01055111414696687	-0.0008276291748424894	5.0
37.0	-4.4693240797498424e-05	-0.00395227948326151	-0.003293432871691663	6.81664563193916	1.0016785742323322	-0.0021151846372929745	-0.017509923252920476	-0.008601030407837648	0.003079957067621524	5.0
38.0	-0.013408435633696592	-0.008534221178940787	-0.005219416935678473	6.849857860445096	1.0016785742323322	0.004077342029780308	-0.01407173037425633	0.0013970358057788096	-0.001794257387134287	4.0
39.0	-0.01058638357571133	-0.01399904901778256	0.011852481480153703	6.90194697885557	1.0016785742323322	-0.0028694053762812963	-0.0008153533900819524	0.0002230366205949047	0.0016184080549369484	4.0
40.0	-0.013279443142677157	-0.010800952145168748	-0.023885252356115164	6.982703948677921	0.9999951060739193	-0.005012244398713731	-0.0230826986213256	-0.0039950471984638095	-0.0008600829425714649	3.0
41.0	-0.020892117337781877	-0.019449392252333126	-0.015179820349952598	7.04931515776942	0.9955793060550246	-0.04628859975882499	-0.04918594997471394	-0.04260225419942914	-0.0023028080280202137	3.0
42.0	0.0016275368422817684	0.0005242281291846099	-0.001488962050464157	7.0638196800094715	1.0016785742323322	-0.06280839519327586	-0.04285779450886183	-0.057449800250695626	-0.0011994993149230552	3.0
43.0	0.0015419564871296367	0.002314730056109192	0.017442730903328388	7.117998266378776	0.9955793060550246	-0.056791471180348656	-0.024616310656721176	-0.056414288131072014	-0.0019722728839026106	3.0
44.0	-0.008333477076681922	-0.009784369891553015	-0.026840050407228706	7.2168334656272295	0.9955793060550246	-0.06368130578374595	-0.046611722587648674	-0.06765742292990491	-0.0005213800690315176	2.0
45.0	-0.016467615382383883	-0.01615766997937018	0.0032056289173452573	7.315385067834835	0.9983145386213296	-0.07588669627985462	-0.040112660798611754	-0.07573083592563609	-0.0008313254720452182	2.0
46.0	-0.0105887542584908	-0.01218529359906454	-0.02150549679393432	7.367186691558484	0.9983145386213296	-0.07953776869997836	-0.0563987406568676	-0.07293684334168864	0.0007652138685285201	2.0
47.0	0.004593656298341013	0.00397352644746906	0.002468665747719992	7.374973746382748	0.9983145386213296	-0.06156519323472675	-0.0657825563893013	-0.06584288641071878	0.0013853437194004752	3.0
48.0	0.01093110396422732	0.01267781504349289	0.008208922357098483	7.425169036827175	1.0044324750173943	-0.03808642604606511	-0.03368838167608766	-0.03826214976018043	-0.0003613673598650963	3.0
49.0	0.005913889970644183	0.005616023674445764	0.005460753093339377	7.409230996246379	0.9983145386213296	-0.013021010119286221	-0.013047808232795687	-0.011911419212631471	-6.350106366667602e-05	4.0
50.0	0.011986333590325852	0.011214183587960553	-0.004339705334023142	7.431745263589734	0.9955793060550246	-0.0023310546605102784	-0.01589855151635467	-0.004989474026635843	0.0007086489386986227	4.0
51.0	-0.010619577054698412	-0.008587536896489254	-0.015053914817578291	7.4794137864735	0.9999951060739193	-0.013233321613108725	-0.04839519723726135	-0.011478320307910284	-0.0013233912195105351	3.0
52.0	-0.014240428711809486	-0.01729971376781538	-0.0012050570185529047	7.515406993650633	0.9983145386213296	-0.020748665489371088	-0.02276020384858555	-0.022099814289753175	0.0017358938364953561	3.0
